window_id,source,segment,source_split,cutoff_ms,history_seconds,history_count,request_count_stratum,selection_order_sha256,role_order_sha256,role,profile_id
burstgpt_1-856505000,burstgpt,burstgpt_1,train,856505000,300,977,9,0baa3809ba992b1fea99d7e91cfb9f13665d7088575a54ed6044a895a697b501,370566c581fbec88a6b55ef25cbd9507dfabbdf3fb2d6782ec8db6c23e15011c,expanded_train,phase44_burstgpt_1_014
burstgpt_1-860105000,burstgpt,burstgpt_1,train,860105000,300,852,9,0405b2b4d11b622cb5966e7cdf14e4b210c0ab38e42c376503354f83ad7b6ce3,753553a2b2dd627f9f8b5179155dee64d35a4627c0f7a38363ab48502d441bc1,expanded_train,phase44_burstgpt_1_015
burstgpt_1-868505000,burstgpt,burstgpt_1,train,868505000,300,1014,9,01d76e632c8bc8ed8d0ae56019d86adb532c0e828b72a869761ebae3b42e9d1b,d92e15eaef433f287feb067b61f3f6f4052a68ba5d6fde4427985bf9e1ec781d,expanded_validation,phase44_burstgpt_1_016
burstgpt_1-868805000,burstgpt,burstgpt_1,train,868805000,300,986,9,0d15de0d5204b614cc16a0856bc9ae7852da91c34d5e4e15d1eaa62ff660104d,17534e58fef4bd2734da0fce8f4d173cd414a698cdc174e0218a80dbe7082410,expanded_train,phase44_burstgpt_1_017
burstgpt_1-875405000,burstgpt,burstgpt_1,train,875405000,300,1174,9,11e564b6f8577ec26648451aadc647ebbce6d69de81b4c037eb1d916c90e3412,4ac789c719ed2132d9dc1d056e9e17e1b9757540cf785f687cdf1c0c1c8a55d2,expanded_train,phase44_burstgpt_1_018
burstgpt_1-877505000,burstgpt,burstgpt_1,train,877505000,300,787,9,0a262eadae58b9763449cd2d6950085b2ff321ac2c0ebb19cf5bc6abfad34c2b,bc55517410d9d457b25b488bcbcb33d9925a85b3a03f9cc92b027f09ffe0f0d3,expanded_train,phase44_burstgpt_1_019
burstgpt_1-882305000,burstgpt,burstgpt_1,train,882305000,300,1036,9,026eda27869889d3d873051a95e8e6422589acf00d413a63a1ff639a4d51d0b4,4ed84f7504bf860f48c9c2762a48d70a0db0b32d7b2e342973b3cc5d17508ae9,expanded_train,phase44_burstgpt_1_020
burstgpt_1-884405000,burstgpt,burstgpt_1,train,884405000,300,1235,9,000368836e63c2aeba99ad87db05bf3cd8b7268770aab02b5ab7864baf5e4488,9c4fe1531340c09e7e2a0db2a1c8b3ba192b8891205cf2f822c4543f5b15d67a,expanded_train,phase44_burstgpt_1_021
burstgpt_1-930005000,burstgpt,burstgpt_1,train,930005000,300,100,3,0c0aba7bb687494e42b13b0ff689029c37628b54ec2e3adb2a0edbd4b6efdf8a,25d3e9ad928996156ca0ebc32213b19a822e249b10395b0e35b7dc333538672e,expanded_train,phase44_burstgpt_1_022
burstgpt_1-1086905000,burstgpt,burstgpt_1,train,1086905000,300,108,4,083ef2b604b190cdd054f6507a1d828e5429c3b92439c0dfeeacc71909943719,7348e59274ef1b63b59c815fa367a14f9072795c528f32edb251921b7718368a,expanded_train,phase44_burstgpt_1_023
burstgpt_1-1089905000,burstgpt,burstgpt_1,train,1089905000,300,104,3,0fa56fbe994c9a66e248d4112001ac3735b49228322a60d15f792f2109eea604,4d2acbd8039ad1be26192d9df9d4aaab88ca9e909c19507cdbd3bb7b82497357,expanded_train,phase44_burstgpt_1_024
burstgpt_1-1120805000,burstgpt,burstgpt_1,train,1120805000,300,62,2,141e0e717ef3810fc67b017f6473cc6d4f487f0ecc83de68c6fc01e6dc53eaac,c6be11adf675bd9da1f1580d49a08b81343431a77b139da6dae044726c1c6c74,expanded_validation,phase44_burstgpt_1_025
burstgpt_1-1122905000,burstgpt,burstgpt_1,train,1122905000,300,98,3,03621fc03d328fe5a9bf405925f1315c07b230b0e987ec5702dbb0b5787770b6,80721a7e115732265b827a53812fc2129780b29ac7bab122cdb9039d7807841e,expanded_train,phase44_burstgpt_1_026
burstgpt_1-1182005000,burstgpt,burstgpt_1,train,1182005000,300,33,0,133814b809694a189d8ffed8c0307766d2b2253562c0ff644e0710bd8fe02b51,cdb7752f23e00f79b87073b9f7f0426a593bf64b28d59ef9c203047d97a5686c,expanded_train,phase44_burstgpt_1_027
burstgpt_1-1183805000,burstgpt,burstgpt_1,train,1183805000,300,35,0,0f34945e040e5a67d709dd36d5754bf9111bbb30643a65ff97fb69e124202454,f06700f65ef4df79c9d949de4675856efe9afca4034ca03fda126e0fe43dcfd5,expanded_validation,phase44_burstgpt_1_028
burstgpt_1-1262405000,burstgpt,burstgpt_1,train,1262405000,300,2703,9,0f5ead3a68f5712519ff9d09ab4f69aef8fcf590b0fdf43c94d040ecebd50eef,40d29d4abd84bfb879d0cb754bac43800aee70ec0c92cfe6f3c4ce9d965e497f,expanded_train,phase44_burstgpt_1_029
burstgpt_1-1272305000,burstgpt,burstgpt_1,train,1272305000,300,206,6,014ecdddaa1f93a18f6e0a5fbc3ec14169a0254c976fa138b0690dbfe066668a,b1583d24aaac7b08685a02424fe74b2de1817dbe2f6ec4a7630829a9c990df50,expanded_train,phase44_burstgpt_1_030
burstgpt_1-1275605000,burstgpt,burstgpt_1,train,1275605000,300,97,3,00ed5ec9ff115c5aecd4cd78820a1cdf5ff3f5756ec6e601a11dd0d4f0b019f9,c56a4171ef6f6fb53c011b33b66a62ac85f47c96579a162689992ef58af35247,expanded_validation,phase44_burstgpt_1_031
burstgpt_1-1287605000,burstgpt,burstgpt_1,train,1287605000,300,32,0,03ae88cd06db3855222e97a03dd685c7111d146ed2c3dc7e30092d8b42cfe640,547cfe0c397b2548418c6fda31ec69dd92d7a620561d52333c43d1849807b0e6,expanded_train,phase44_burstgpt_1_032
burstgpt_1-1333505000,burstgpt,burstgpt_1,train,1333505000,300,70,2,0b8ad1e942495f1a231f95f4000d6e7da4b8a6611c96659cd8ba4307cf92c276,1ca2ea7687f59f14bdb832a143cc37fa714637afd1b15496ed46801a4740dffa,expanded_train,phase44_burstgpt_1_033
burstgpt_1-1335305000,burstgpt,burstgpt_1,train,1335305000,300,43,1,09a29dcad8b5c63335d74d031f569cd826a14248ea0d2e1a50cff9551b325c38,5e4a126f658974bfac611e00e0e27815774ca983d07300f3a7114dfe7acac021,expanded_train,phase44_burstgpt_1_034
burstgpt_1-1341605000,burstgpt,burstgpt_1,train,1341605000,300,137,4,10873fd28f899aebcd31c46bebe7b0b9317da36f17b999a6284f645aacd3d0f2,d2b43886929ea096b08409a0e119cf07a0f97f0746725de610c8c3acc68c0f0d,expanded_train,phase44_burstgpt_1_035
burstgpt_1-1347005000,burstgpt,burstgpt_1,train,1347005000,300,314,7,08e92834b755bd51878fc1d4f39e14c6784b77497cd05c0e4a618acbb7e5caae,a9f3e7dd06d5519213f526a20323a2b88cf5e2c1897a3f61c9a816723395b5eb,expanded_train,phase44_burstgpt_1_036
burstgpt_1-1347605000,burstgpt,burstgpt_1,train,1347605000,300,276,7,0c29801209fd986f76c51ab04e210bb06f724732c5dc8f9ce9a4ee30c264bc49,841edeabfc6fb809e4e188a88d6070aef843f2525667578eb703f8cd0952f059,expanded_train,phase44_burstgpt_1_037
burstgpt_1-1348205000,burstgpt,burstgpt_1,train,1348205000,300,395,8,01743a7719b61e46639221760a2976b89d3a22f8a31bb10b56e3769dc70bf2ca,4cc22122fa06f81a4ec7e36c816b213bfb75667979ea2457436c08ac878e0e80,expanded_train,phase44_burstgpt_1_038
burstgpt_1-1350605000,burstgpt,burstgpt_1,train,1350605000,300,99,3,035f503d5576437d1fcffacfcf15af3a05609d391bab34e1c16a5b351d4a3315,7fba662cf9187c7289e0f6d5e1ba665ed391dc96f066e1012b087e2f3d0f1490,expanded_train,phase44_burstgpt_1_039
burstgpt_1-1354205000,burstgpt,burstgpt_1,train,1354205000,300,269,7,0be9dc7c44fd353abd60f435a9cdc7bd5cf168742efba53af2827263f1896f85,370416b76725a5cda4f2f0fc1249f495d3ae90e7806420db5d18d3a542216832,expanded_train,phase44_burstgpt_1_040
burstgpt_1-1368005000,burstgpt,burstgpt_1,train,1368005000,300,78,2,11bcbb5ed3aa9932cf5828d0c22483ed1ff27d96e901b9d0debf6b7c0c7076b0,5f5b2d15ae6628ed5ad3df32ecd0664700270a49170532f1316be153c84e563b,expanded_train,phase44_burstgpt_1_041
burstgpt_1-1369505000,burstgpt,burstgpt_1,train,1369505000,300,32,0,06ff0d0bc6455377ab62a6ca0d6f71a8d116cc7c66606653c0e0d5eed6730898,379cd02ff5aa5a8835d16e383f3fe0efdc951bd6955222f99042dde8f72454ff,expanded_train,phase44_burstgpt_1_042
burstgpt_1-1375205000,burstgpt,burstgpt_1,train,1375205000,300,105,4,09b60a270c66a07b868e707f3da04ab06e22213d580d51dcea7373d95f1610ab,feb928fcf4980dbb4554c7a728e762bbf4a9733f4f2994dea3645c5d5b95cc40,expanded_validation,phase44_burstgpt_1_043
burstgpt_1-1378805000,burstgpt,burstgpt_1,train,1378805000,300,70,2,06666ac7030a96dc57a459d185d23aefdce39e17a504e2839e9940343b35209e,0d4188756cabf0ccc3430f0ab57ebf1672330ba2a4f78fd914caa30d770bcfcb,expanded_train,phase44_burstgpt_1_044
burstgpt_1-1385405000,burstgpt,burstgpt_1,train,1385405000,300,131,4,17f2e2820e7f646cc413c4f2123ad4e1e7af93553cb7dd6748f601f9b2c9c5ce,a29577355f1eb04d2dbaac78beb5638d644fb9ee6a379ad76d2d510bfcb63c5a,expanded_train,phase44_burstgpt_1_045
burstgpt_1-1387205000,burstgpt,burstgpt_1,train,1387205000,300,109,4,18b510f4c33cbf9b632eafd700a48f00a29811895b9997c9ff46020c15f46b20,948fc70bd11e085e3e7cf30ce11a8fc272fb7d2bd803ec7693543060750b439e,expanded_train,phase44_burstgpt_1_046
burstgpt_1-1415105000,burstgpt,burstgpt_1,train,1415105000,300,138,4,062b84c29876577bda97368f2350753622b6504513adb987e73e9273b3c06609,2e18a7510cd2c798b6e779532d2ecca028b5771ebc29d154a4fcb6d9466a5e86,expanded_train,phase44_burstgpt_1_047
burstgpt_1-1415405000,burstgpt,burstgpt_1,train,1415405000,300,106,4,13b853b58380f65d03f51e8bd96922647c26a4a842634993217c51f8285937e2,67d13ddbaa872b3b2998aa18d92ca93c8ea264eb875e79bd900a273ed40d7fe2,expanded_train,phase44_burstgpt_1_048
burstgpt_1-1416905000,burstgpt,burstgpt_1,train,1416905000,300,152,5,0f63713110973b5165934981898f322dd43b4326bf665a1b2c3e37dbcee4ca73,437711f57e235445d4592eb9410ade4ea7edeef5fc92d37def2d9cea22a0a883,expanded_train,phase44_burstgpt_1_049
burstgpt_1-1418705000,burstgpt,burstgpt_1,train,1418705000,300,138,4,168bf2a87e08eaaa79f3771c5be728cef058f5ba2abed333b8a1097b2604d6c1,7bca2fb4d1d1a4b3c0fec0c0b81b645575db5520416a3d71ab35899f61364e76,expanded_train,phase44_burstgpt_1_050
burstgpt_1-1421405000,burstgpt,burstgpt_1,train,1421405000,300,182,5,0ffdd7d6f5fd950b050271b518c2ada07bc141fe3db81d7a8b11754f7aca0dab,d6497d88e73a4c98078c1dc911e1c5fba5f8cd97b52aaeff8885971791c6f9b3,expanded_validation,phase44_burstgpt_1_051
burstgpt_1-1422305000,burstgpt,burstgpt_1,train,1422305000,300,177,5,110d0be5c1195c9e85a57b3b0a304a317e9bbb9be849b979f00564fd6527f41f,9548ddd5a2bd7cf3e21af8ada83a703459f89f483034d1862102ab86cbf507c8,expanded_train,phase44_burstgpt_1_052
burstgpt_1-1422905000,burstgpt,burstgpt_1,train,1422905000,300,129,4,138f0514db3abc0a6efbf48b0967e1d3ea2a922e36edd731f40e71c788822935,8b49fbc3d787e6eb6f39987be37f24615d7da894ff8daecb56a62c123a813d2d,expanded_train,phase44_burstgpt_1_053
burstgpt_1-1425005000,burstgpt,burstgpt_1,train,1425005000,300,128,4,0da55b65f10a6e55564e93769e5a4a91d05cc98fce3ff8bb09730e39ff0be0c9,91975c08a2c3891d46a7c5a5c49b1a6bafad5e44e1d3bccadb3ff269ed4f49ef,expanded_train,phase44_burstgpt_1_054
burstgpt_1-1426805000,burstgpt,burstgpt_1,train,1426805000,300,111,4,0f5ac91c535bf87904f6decff11d450d8e40cbe940fdf4c4bfde628d827e964f,9ddf71c1981a6fa915fc68fb500f3f1c716f473f37d7dbaa9d5134c4f04cce7e,expanded_train,phase44_burstgpt_1_055
burstgpt_1-1443005000,burstgpt,burstgpt_1,train,1443005000,300,449,8,01f50cd49b37a7cf345cca4756f52a4670b77638bf961f9d25df7248f18aa13d,75fa754714594498a6a377066123a4291bfc748aa6949a9d3ccdc478f6b20d8f,expanded_train,phase44_burstgpt_1_056
burstgpt_1-1469105000,burstgpt,burstgpt_1,train,1469105000,300,155,5,0ef7997c85c29fa7b19682e4a3683d55fddbd3287fcd75f041d3726c176e75f7,5c4e786b6ac090587c633ee45d827fae0e41182ab690864850e1025a6fb6db57,expanded_train,phase44_burstgpt_1_057
burstgpt_1-1477205000,burstgpt,burstgpt_1,train,1477205000,300,67,2,1032281b3346525992fc141d59eb4cf5931832ad24269920395c11ba30a1abe0,5e60c84e6c6d7c52dbcc6a0d0705d2060f96698e010c7fdddb8cf6598b849bfd,expanded_train,phase44_burstgpt_1_058
burstgpt_1-1479005000,burstgpt,burstgpt_1,train,1479005000,300,36,0,0cc13cb317956c4f39a72a90633221aa91ecfa39502fc0c29308c4bb92ddd85c,56d7ab24ade1c8fd0288dff11dc4d0ca1ff729ea411c8fac76182a574ff8579b,expanded_train,phase44_burstgpt_1_059
burstgpt_1-1480805000,burstgpt,burstgpt_1,train,1480805000,300,42,0,09d1213a6acd7012d817c1bb6d8b22be7dcec0b86cf955fe1d237612c81a5ccf,eadf5335246980cff4a123b8d4a34cefa3d5bc3bec42f6611135715b328ce05c,expanded_validation,phase44_burstgpt_1_060
burstgpt_1-1485905000,burstgpt,burstgpt_1,train,1485905000,300,83,3,0ad4ecf7cbd4d448932a0b3255c50b88124b846959171bf567f73588f7014101,81abf7a3bfea74714fe2cd3a7ee102a79c4f8c09f249b7dc589d352682c8840d,expanded_train,phase44_burstgpt_1_061
burstgpt_1-1531205000,burstgpt,burstgpt_1,train,1531205000,300,38,0,068c59f93c299fb25a4ffa90bcb38f4cff873c74512216ed546c6ab5de217ea8,25f66432520d62952834ebb3e12ab24e4e071931105a9cba8141236e1d31bc43,expanded_train,phase44_burstgpt_1_062
burstgpt_1-1538405000,burstgpt,burstgpt_1,train,1538405000,300,96,3,0620e667f9e56340bf3f5bc4494b5fc04a2d6b02dbb3e65727668e219c7b3fa5,c7a2693e64dba066a961f17ed589bcf94b7b5d80d2a0738775263f632c66ea51,expanded_validation,phase44_burstgpt_1_063
burstgpt_1-1543505000,burstgpt,burstgpt_1,train,1543505000,300,120,4,0c6f13f2de97d40878e493f78de69f8ae251ba451f5961acdf64e333df51446d,f0993b285f3631ec68570fb3e0da57810ae091269a2e852f089dcaeb12775726,expanded_validation,phase44_burstgpt_1_064
burstgpt_1-1551605000,burstgpt,burstgpt_1,train,1551605000,300,99,3,09fcdb7bc7a873502b663b1e1b31a4c1b7830743d5386ebcdaf441b9d7e9b829,1ff25a593ba9d531a9828887a231516f54b6cc395eaeb7e6659e837feb8da505,expanded_train,phase44_burstgpt_1_065
burstgpt_1-1552205000,burstgpt,burstgpt_1,train,1552205000,300,167,5,076f7c7689dba9c7e51496c1e3e0905cd5f2e7bc0184893138870febdf4b4407,d77f40dce145e5bd95a46c2c4685093dc708dd2f25f527bbbb9098d3772acec6,expanded_validation,phase44_burstgpt_1_066
burstgpt_1-1554605000,burstgpt,burstgpt_1,train,1554605000,300,94,3,0fb29f410bc86b28fc02bad2c2aa22a51de6efa6240b2675e319253d974fca66,fce6ea3cb11fc7c82935c0d9ce236381b48dc978297604a0f86655542f4171ae,expanded_validation,phase44_burstgpt_1_067
burstgpt_1-1555205000,burstgpt,burstgpt_1,train,1555205000,300,109,4,0eea80ebed3ac0230e303cc45db9146706d980ada5bf93cf00e85861eba01a8d,5d87b8fd06b9f90817ffaf89836b451a065b2b6ad526235ed4edb624b913c99a,expanded_train,phase44_burstgpt_1_068
burstgpt_1-1556705000,burstgpt,burstgpt_1,train,1556705000,300,92,3,0df5377a36eb9a533ed5eea9332f17887c22780438b6d1fd9ec188879bec155e,28e3a72a469a344a5050088de29729e086b3d2f01aa8b0033f095433ec5a1595,expanded_train,phase44_burstgpt_1_069
burstgpt_1-1568105000,burstgpt,burstgpt_1,train,1568105000,300,97,3,104d27d8c002427f0be060cea17dfdff90859232741c5c8af672baa339dcf093,c2b63b88438c3f4742876aaff4758796673c4683d6832838399e86e1fcfd8905,expanded_validation,phase44_burstgpt_1_070
burstgpt_1-1569605000,burstgpt,burstgpt_1,train,1569605000,300,46,1,1154b37264883174c2de21ba2bb148237928e2ea5c2b5bd4a52978516d13ba5d,e96af315723e303d96c556126dea55ea7ab3fed2c53d308978e8af561e01a2e5,expanded_validation,phase44_burstgpt_1_071
burstgpt_1-1610105000,burstgpt,burstgpt_1,train,1610105000,300,91,3,13d024b3d8d6edeaaba9bc94b6827080438c9fd1d89c635e3c016bc9effd56b0,4e891b1c1d665552c61b3ce7b5c5eb25a35c55684926f0342b2da8466181bc85,expanded_train,phase44_burstgpt_1_072
burstgpt_1-1626605000,burstgpt,burstgpt_1,train,1626605000,300,290,7,0570aaac6d3ae09f9844d1a4dc6d28b04f8a77187be00e62401c751455b7c2da,532318e0e9d94da28a8bd5f2fafd945d7e58ffd2cd2d18faeba0da55d781f221,expanded_train,phase44_burstgpt_1_073
burstgpt_1-1641605000,burstgpt,burstgpt_1,train,1641605000,300,178,5,0a2ce39a497cd8ff82655217ff879a1fcebeb1b8f5bca3e891ed6c884606e108,cdad2ffa3f9b3f16a63435bec2e6e99e27a145faa8a7f06868518f6147535ca4,expanded_train,phase44_burstgpt_1_074
burstgpt_1-1646105000,burstgpt,burstgpt_1,train,1646105000,300,102,3,07d530c08cea68aab7a5a9926ed490d496855669c283d60785158fb60f6fa08e,2ed20f80af4c192d923b1d64a7eeb89494cbbf5be9e46cb1c948fa3927edb187,expanded_train,phase44_burstgpt_1_075
burstgpt_1-1674005000,burstgpt,burstgpt_1,train,1674005000,300,79,2,12b5ab77735cc5e946f237af023531c523352d2346b2010179c877ea15bf7903,2a1a579c8527874cc81650e567ec60ffe16e5d29c4d0103f737ef939d2c5a018,expanded_train,phase44_burstgpt_1_076
burstgpt_1-1676705000,burstgpt,burstgpt_1,train,1676705000,300,133,4,0deaa394d12ef986d58fc2974c57b45a196859fd04a77b33e7813844861bcbd5,7a0a2e44f902791f951e4d21c37c302b6c0c622ac85820ddaf9d7bbdf97b6641,expanded_train,phase44_burstgpt_1_077
burstgpt_1-1680005000,burstgpt,burstgpt_1,train,1680005000,300,320,7,07fd21ebc15556c2293a938617b03d05ca63ba59366047d143b38c851df4f124,d24e1d001969a750e775abde35e1e8eb6e6be6bcdf46bee6381353fea010f0ca,expanded_train,phase44_burstgpt_1_078
burstgpt_1-1680305000,burstgpt,burstgpt_1,train,1680305000,300,267,7,08b8a4903d17743c86e2e5121d8c22e5955fb2cf7d0d81e2201350d073e761c7,cea36cb093a6b16a63e30d11a082a50dde2a734a04fb60e5e4f4212fd33ea788,expanded_train,phase44_burstgpt_1_079
burstgpt_1-1683005000,burstgpt,burstgpt_1,train,1683005000,300,337,7,09fa54a209c961f96ece7d4bd9979854fa1683ce68c7655088e537bf66cd028d,9e929ada41170c5fb39d88ff4e4dd0397464f794886cc48521b3d76851aafc12,expanded_train,phase44_burstgpt_1_080
burstgpt_1-1684205000,burstgpt,burstgpt_1,train,1684205000,300,308,7,01aee0b1bcb243755b3fd571cb6de720ae484a686ea6c96f195fadf0b2a68cf3,03dfa6f9ebc8d076208f9d249f0c150a8aaed22c3b8914d5406b1cfab3458a8f,expanded_train,phase44_burstgpt_1_081
burstgpt_1-1698005000,burstgpt,burstgpt_1,train,1698005000,300,170,5,15b60a12ad86e1edb0a1dbedb16fd62a07a388a3c3cd74f035a4fdfdff5dece7,479829b15c256098f6ee4ab0f26a0397cca89903a1726b40ae749b3f6748f62a,expanded_train,phase44_burstgpt_1_082
burstgpt_1-1702205000,burstgpt,burstgpt_1,train,1702205000,300,210,6,05680b1c2b5e6dbdab378decb678fc39b0c75aac469c12896af596c333b98329,474cdf28e8984673eef2b41f1ccfd870ffa2f7a95ba593b62b0d63ad8d3ab4bc,expanded_train,phase44_burstgpt_1_083
burstgpt_1-1716605000,burstgpt,burstgpt_1,train,1716605000,300,42,0,10849aa1884cb13849f208e851e739126082a0485b9369168aa09a872f3e5113,a72836d356ab8699fc729700ed11917530e9d44b4ca42daa4261bad857d880f9,expanded_train,phase44_burstgpt_1_084
burstgpt_1-1722605000,burstgpt,burstgpt_1,train,1722605000,300,369,7,04581be21d18c996e20b1b380c3ff90e4f977b11c33613ccaebf52d312151907,c314f6acabb812e579d35b17573fb95683154d8c67746aa0fc4c80c8663e1ee9,expanded_train,phase44_burstgpt_1_085
burstgpt_1-1723205000,burstgpt,burstgpt_1,train,1723205000,300,40,0,0d2019c45e721a4fb477db4698f9164c78cfc66d511d737f920ed99f0216cc7e,46c78f8ec9f53d200babe244a75122fd08ed8e7e00dbd5828717d274e1d95e8c,expanded_train,phase44_burstgpt_1_086
burstgpt_1-1724105000,burstgpt,burstgpt_1,train,1724105000,300,410,8,12aeda2319d2ea4e74c6e1b8502c452fa6fbc4c4fb4872e43b4621448ec4b1a0,c6175aaffae5989e625f3619d796196d2826c5efbf3f7fdd050f519886b30281,expanded_train,phase44_burstgpt_1_087
burstgpt_1-1728005000,burstgpt,burstgpt_1,train,1728005000,300,355,7,0841359f297e07cbae54f708c3a7e8c3f4c65fb5678395a6c02c9edba473acc4,5483431d09dd79259aef6da3a1d3f5d527975c36a3dacdfc9a1187a822274ecc,expanded_train,phase44_burstgpt_1_088
burstgpt_1-1746905000,burstgpt,burstgpt_1,train,1746905000,300,39,0,0b2953b456efd364cebf5adcb5713ebfc530200fec975a721f627b486e1d0a4a,48d8f24c8de380d48cbd46c5e4c7e78541f12be91d19734508216c99994bda48,expanded_train,phase44_burstgpt_1_089
burstgpt_1-1750205000,burstgpt,burstgpt_1,train,1750205000,300,86,3,031fd9de92ebc5ed6a2a471dba3fca17e63669c7feb1acded149d6729268bed7,2cd8b93a09b54213c7ae8fffa4a3ab91d31ca9df276f2f64df3615ebfdffc82c,expanded_train,phase44_burstgpt_1_090
burstgpt_1-1752305000,burstgpt,burstgpt_1,train,1752305000,300,100,3,03c721b55fb08903262023d9f7138a9750e1f3e387a658970ba3d2196c6d95e9,70e69a42ae0e650fccd2f481d12d05207ee8fd768dcf5d38571866fb8a555fbe,expanded_train,phase44_burstgpt_1_091
burstgpt_1-1752605000,burstgpt,burstgpt_1,train,1752605000,300,95,3,0a98efbddf22e741ddc1a47f3fe9db7d03261c74a4a1b32c724802bc18330125,4aa9a75d52979b1b519dd112ae58edb23e7d0ee59b60a096318c47f3a5291647,expanded_train,phase44_burstgpt_1_092
burstgpt_1-1761605000,burstgpt,burstgpt_1,train,1761605000,300,84,3,06cd710200fe2e7553d9928c4494f2864a0ccbe0538d1f7ec66146f6e2cb1cf9,5393d03da216a52aba34351095408ef78858f559c01861d99e64fc5a62104daa,expanded_train,phase44_burstgpt_1_093
burstgpt_1-1762205000,burstgpt,burstgpt_1,train,1762205000,300,217,6,0a67c323f4477e79067a8d53456ccc9f338faed4bf0530f66e572277002dbcc0,36c5879cba6c3a3561b99a8bf0f6f9bdba1821171dacd3b4d241c97becf3e27c,expanded_train,phase44_burstgpt_1_094
burstgpt_1-1767305000,burstgpt,burstgpt_1,train,1767305000,300,489,8,119df9f0ed9bffba6be56ea86f8469c3236996613fa69c16275d1f2f10fa3df5,6d689b597b221924c3befe4bb6c4e831cd0c67801b05f436ecb1575438b9680d,expanded_train,phase44_burstgpt_1_095
