profile_id,role,window_id,source,segment,source_split,cutoff_ms,history_seconds,history_count,alignment_source
phase27_burstgpt_3_09,independent_confirmation,burstgpt_3-20351510000,burstgpt,burstgpt_3,temporal_test,20351510000,300,1220,phase27_pp_contract
phase27_burstgpt_3_10,independent_confirmation,burstgpt_3-20390210000,burstgpt,burstgpt_3,temporal_test,20390210000,300,350,phase27_pp_contract
phase27_mooncake_conversation_01,development_train,mooncake_conversation-3000000,mooncake,mooncake_conversation,external_test,3000000,300,1103,phase27_pp_contract
phase27_mooncake_conversation_02,development_train,mooncake_conversation-360000,mooncake,mooncake_conversation,external_test,360000,300,920,phase27_pp_contract
phase27_mooncake_conversation_03,development_train,mooncake_conversation-3360000,mooncake,mooncake_conversation,external_test,3360000,300,1123,phase27_pp_contract
phase27_mooncake_conversation_04,development_train,mooncake_conversation-540000,mooncake,mooncake_conversation,external_test,540000,300,840,phase27_pp_contract
phase27_mooncake_conversation_05,development_train,mooncake_conversation-1620000,mooncake,mooncake_conversation,external_test,1620000,300,1017,phase27_pp_contract
phase27_mooncake_conversation_06,development_validation,mooncake_conversation-2400000,mooncake,mooncake_conversation,external_test,2400000,300,1093,phase27_pp_contract
phase27_mooncake_conversation_07,development_validation,mooncake_conversation-2100000,mooncake,mooncake_conversation,external_test,2100000,300,1039,phase27_pp_contract
phase27_mooncake_conversation_08,independent_confirmation,mooncake_conversation-1260000,mooncake,mooncake_conversation,external_test,1260000,300,971,phase27_pp_contract
phase27_mooncake_conversation_09,independent_confirmation,mooncake_conversation-2760000,mooncake,mooncake_conversation,external_test,2760000,300,1097,phase27_pp_contract
phase27_mooncake_conversation_10,independent_confirmation,mooncake_conversation-840000,mooncake,mooncake_conversation,external_test,840000,300,973,phase27_pp_contract
phase27_mooncake_synthetic_01,development_train,mooncake_synthetic-960000,mooncake,mooncake_synthetic,external_synthetic,960000,300,1229,phase27_pp_contract
phase27_mooncake_synthetic_02,development_train,mooncake_synthetic-780000,mooncake,mooncake_synthetic,external_synthetic,780000,300,1196,phase27_pp_contract
phase27_mooncake_synthetic_03,development_train,mooncake_synthetic-840000,mooncake,mooncake_synthetic,external_synthetic,840000,300,1199,phase27_pp_contract
phase27_mooncake_synthetic_04,development_train,mooncake_synthetic-720000,mooncake,mooncake_synthetic,external_synthetic,720000,300,1204,phase27_pp_contract
phase27_mooncake_synthetic_05,development_train,mooncake_synthetic-600000,mooncake,mooncake_synthetic,external_synthetic,600000,300,1163,phase27_pp_contract
phase27_mooncake_synthetic_06,development_validation,mooncake_synthetic-300000,mooncake,mooncake_synthetic,external_synthetic,300000,300,1091,phase27_pp_contract
phase27_mooncake_synthetic_07,development_validation,mooncake_synthetic-900000,mooncake,mooncake_synthetic,external_synthetic,900000,300,1215,phase27_pp_contract
phase27_mooncake_synthetic_08,independent_confirmation,mooncake_synthetic-420000,mooncake,mooncake_synthetic,external_synthetic,420000,300,1121,phase27_pp_contract
phase27_mooncake_synthetic_09,independent_confirmation,mooncake_synthetic-540000,mooncake,mooncake_synthetic,external_synthetic,540000,300,1162,phase27_pp_contract
phase27_mooncake_synthetic_10,independent_confirmation,mooncake_synthetic-360000,mooncake,mooncake_synthetic,external_synthetic,360000,300,1118,phase27_pp_contract
phase27_mooncake_toolagent_01,development_train,mooncake_toolagent-1080000,mooncake,mooncake_toolagent,external_test,1080000,300,1774,phase27_pp_contract
phase27_mooncake_toolagent_02,development_train,mooncake_toolagent-360000,mooncake,mooncake_toolagent,external_test,360000,300,1807,phase27_pp_contract
phase27_mooncake_toolagent_03,development_train,mooncake_toolagent-3360000,mooncake,mooncake_toolagent,external_test,3360000,300,2153,phase27_pp_contract
phase27_mooncake_toolagent_04,development_train,mooncake_toolagent-3120000,mooncake,mooncake_toolagent,external_test,3120000,300,2184,phase27_pp_contract
phase27_mooncake_toolagent_05,development_train,mooncake_toolagent-840000,mooncake,mooncake_toolagent,external_test,840000,300,1973,phase27_pp_contract
phase27_mooncake_toolagent_06,development_validation,mooncake_toolagent-2220000,mooncake,mooncake_toolagent,external_test,2220000,300,2103,phase27_pp_contract
phase27_mooncake_toolagent_07,development_validation,mooncake_toolagent-2820000,mooncake,mooncake_toolagent,external_test,2820000,300,2045,phase27_pp_contract
phase27_mooncake_toolagent_08,independent_confirmation,mooncake_toolagent-1440000,mooncake,mooncake_toolagent,external_test,1440000,300,2096,phase27_pp_contract
phase27_mooncake_toolagent_09,independent_confirmation,mooncake_toolagent-600000,mooncake,mooncake_toolagent,external_test,600000,300,1704,phase27_pp_contract
phase27_mooncake_toolagent_10,independent_confirmation,mooncake_toolagent-1800000,mooncake,mooncake_toolagent,external_test,1800000,300,2072,phase27_pp_contract
